seriesuid,coordX,coordY,coordZ,w,h,d,lesion,volume,min_axis,maj_axis,iom_artery,iom_vein
Tr0001.nii.gz,253.0,231.0,141.0,19.0,21.0,13.0,aneurysm,1499.0,12.411585067687309,21.317636808939785,0.9079386257505004,0.0106737825216811
Tr0002.nii.gz,236.0,196.5,213.5,15.0,12.0,14.0,aneurysm,975.0,10.408461802868343,17.395070967810167,0.9989743589743588,0.0
Tr0003.nii.gz,315.5,326.5,75.5,20.0,16.0,16.0,aneurysm,1659.0,12.907482274247975,19.155332991426462,0.9909584086799276,0.0
Tr0004.nii.gz,298.0,237.0,166.5,7.0,7.0,6.0,aneurysm,168.0,6.28512763491913,8.259329664288751,1.0,0.0
Tr0005.nii.gz,249.0,214.5,165.5,9.0,8.0,12.0,aneurysm,401.0,7.1546777016244825,13.706593530349885,0.9625935162094764,0.0
Tr0006.nii.gz,323.0,264.5,159.5,29.0,32.0,32.0,aneurysm,10794.0,24.39531687174,31.22490579313753,0.922827496757458,0.0
Tr0007.nii.gz,336.5,207.0,177.5,12.0,11.0,8.0,aneurysm,397.0,6.539159894779796,14.543394428215944,0.9193954659949622,0.0
Tr0008.nii.gz,179.0,193.0,211.5,29.0,35.0,28.0,aneurysm,11436.0,24.878648522516865,34.507394059826,0.8061385099685204,0.0086568730325288
Tr0009.nii.gz,305.5,239.0,136.5,12.0,11.0,8.0,aneurysm,547.0,7.873730268499696,12.207192980249376,0.9835466179159048,0.0
Tr0010.nii.gz,244.0,168.0,201.5,11.0,11.0,12.0,aneurysm,511.0,8.342667988110355,15.55139073347672,0.9980430528375732,0.0
Tr0011.nii.gz,215.5,221.5,156.5,18.0,20.0,20.0,aneurysm,2551.0,15.135190662794988,22.988728920081893,0.9674637397099176,0.0058800470403763
Tr0012.nii.gz,263.0,201.5,176.5,11.0,12.0,10.0,aneurysm,551.0,8.385475735678638,12.61334083671791,0.8602540834845736,0.0
Tr0013.nii.gz,283.5,239.5,140.5,8.0,8.0,8.0,aneurysm,266.0,6.6408426632098285,10.093576932978197,0.7819548872180451,0.2030075187969924
Tr0014.nii.gz,327.5,245.5,246.5,26.0,24.0,24.0,aneurysm,5360.0,18.769708991191926,26.747803554505985,0.9175373134328358,0.0050373134328358
Tr0014.nii.gz,289.0,228.0,256.0,21.0,23.0,23.0,aneurysm,5963.0,20.726888056485567,26.57399208895746,0.5747107160825088,0.0
Tr0015.nii.gz,291.5,194.0,164.0,6.0,7.0,5.0,aneurysm,111.0,4.87346215778933,7.894332278055423,0.7747747747747747,0.0
Tr0015.nii.gz,296.5,195.0,170.5,6.0,5.0,4.0,aneurysm,77.0,4.926294689684815,6.527842707136962,0.7662337662337663,0.0
Tr0015.nii.gz,305.0,197.5,171.5,7.0,6.0,6.0,aneurysm,132.0,5.550886386466392,7.811239772400698,0.75,0.0
Tr0015.nii.gz,314.0,198.0,174.5,5.0,5.0,4.0,aneurysm,58.0,3.8141973312731983,5.8513617472346535,0.8103448275862069,0.0
Tr0016.nii.gz,226.5,256.0,187.5,16.0,23.0,10.0,aneurysm,1356.0,10.09038655009687,22.16716797717525,0.8672566371681416,0.1113569321533923
Tr0017.nii.gz,337.0,242.5,146.5,11.0,8.0,4.0,aneurysm,163.0,4.184856596967611,11.17371787948153,0.8159509202453987,0.0
Tr0018.nii.gz,281.0,259.0,202.0,19.0,23.0,19.0,aneurysm,3170.0,14.555587484914296,24.981667417337157,0.7943217665615142,0.0
Tr0019.nii.gz,378.5,328.5,195.5,14.0,12.0,8.0,aneurysm,677.0,8.403017176499104,14.057428528976466,0.9911373707533236,0.0
